questions,links
ארכיון תכניות עבודה ותקציב שנים קודמות,https://www.ganeytikva.org.il/תופיקש-תומדוק-םינש-ביצקתו-הדובע-תוינכת-ןויכרא/.
דוחות כספיים,https://www.ganeytikva.org.il/םייפסכ-תוחוד/.
מקבלי השכר הגבוה,https://www.ganeytikva.org.il/הובגה-רכש-ילבקמ/.
דוחות איכות מי השתייה,https://www.ganeytikva.org.il=maraPhcraeS&472=DIyrogetaC?/li.oc.avkit-iem.www//:sptth
מדידות קרינה במוסדות ציבור,https://www.ganeytikva.org.il/רוביצ-תודסומב-הנירק-תודידמ/.
רשימת מאגרי מידע,https://www.ganeytikva.org.il/עדימ-ירגאמ-תמישר/.
מבנה ארגוני,https://www.ganeytikva.org.il/ינוגרא-הנבמ/.
קהילות,https://www.ganeytikva.org.il/תוליהק/.
קהילה מלידה,https://www.ganeytikva.org.ilfaT_kitnaG/oc.gnioc.www//:sptth
בני נוער,https://www.ganeytikva.org.ilCY_avkiT_ienaG/oc.gnioc.www//:sptth
נשים,https://www.ganeytikva.org.il./187/
אזרחים ותיקים,https://www.ganeytikva.org.ilmikitaV_kitnaG/oc.gnioc.www//:sptth
מתנדבים,https://www.ganeytikva.org.ilsreetnuloV_kitnaG/oc.gnioc.www//:sptth
"קהילת צמי""ד",https://www.ganeytikva.org.il/ד-ימצ-תליהק/.
החברה לפיתוח גני תקווה,https://www.ganeytikva.org.il/li.gro.tgym.www//:sptth
מי תקווה,https://www.ganeytikva.org.il/li.oc.avkit-iem.www//:sptth
ספרייה ציבורית,https://www.ganeytikva.org.il/102/.
עמותת אמנות ותרבות בגני תקווה,https://www.ganeytikva.org.il/li.oc.tekcitrams.amabah//:sptth
קצת עלינו,https://www.ganeytikva.org.il/ונילע-תצק/.
עושים טוב בגני תקווה | מגשימים את משאלתה האחרונה של לבנת,https://www.ganeytikva.org.il/תנבל-לש-הנורחאה-התלאשמ-תא-םימישגמ-הווקת-ינגב-בוט-םישוע/.
"הודעת מפקד משמרת בכבאות והצלה | הסבר שימוש בקרש לנעילת הממ""ד",https://www.ganeytikva.org.il/ד-ממה-תליענל-שרקב-שומיש-רבסה-הלצהו-תואבכב-תרמשמ-דקפמ-תעדוה/.
חלוקת חוברות הגשה,https://www.ganeytikva.org.il/השגה-תורבוח-תקולח/.
היערכות לקיץ,https://www.ganeytikva.org.il/-5624194861-0/.
פתרונות למשחקים 70,https://www.ganeytikva.org.il/07-םיקחשמל-תונורתפ/.
כללי,https://www.ganeytikva.org.il/-2613132071-0/.
מכרזי המועצה הדתית,https://www.ganeytikva.org.il/תיתדה-הצעומה-יזרכמ/.
תכנית יזמות חברתית,https://www.ganeytikva.org.ilrumV0B3/yl.tib//:sptth
משהו חדש מתחיל עכשיו מנהל.ות גן,https://www.ganeytikva.org.il/ןג-תולהנמ-וישכע-ליחתמ-שדח-והשמ/.
שירותים בקליק מנהל.ות גן,https://www.ganeytikva.org.il/ןג-תולהנמ-קילקב-םיתוריש/.
"מהשפ""ח באהבה מנהל.ות גן",https://www.ganeytikva.org.il/ןג-תולהנמ-הבהאב-ח-פשהמ/.
"לוח זמנים בעבודה עם השפ""ח",https://www.ganeytikva.org.il/ח-פשה-םע-הדובעב-םינמז-חול/.
הגורמים השונים אשר מלווים אתכן ואותך בגני הילדות והילדים,https://www.ganeytikva.org.il/-4538681661-0/.
גמילה מחיתולים בגן,https://www.ganeytikva.org.il/ןגב-םילותיחמ-הלימג/.
הכניסה לגן,https://www.ganeytikva.org.il/ןגל-הסינכה/.
"עקרונות לעבודת השפ""ח בגן",https://www.ganeytikva.org.il/ןגב-ח-פשה-תדובעל-תונורקע/.
"היחידה לביקור סדיר (קבסי""ם)",https://www.ganeytikva.org.il/ם-יסבק-רידס-רוקיבל-הדיחיה/.
לקראת ועדות מנהל.ות גן,https://www.ganeytikva.org.il/ןג-תולהנמ-תודעו-תארקל/.
מהייעוץ החינוכי אלייך מנהל.ות גן,https://www.ganeytikva.org.il/ןג-תולהנמ-ךיילא-יכוניחה-ץועייהמ/.
מודל לדיאלוג צוות - הורים,https://www.ganeytikva.org.il/םירוה-תווצ-גולאידל-לדומ/.
חובת דיווח,https://www.ganeytikva.org.il/חוויד-תבוח/.
בעקבות מודל ללב,https://www.ganeytikva.org.il/בלל-לדומ-תובקעב/.
מורה נבוכים מנהל.ות גן,https://www.ganeytikva.org.il/ןג-תולהנמ-םיכובנ-הרומ/.
גאנט  2022-2023,https://www.ganeytikva.org.il/3202-2202-טנאג/.
נהלי בטיחות וביטחון מנהל.ות גן,https://www.ganeytikva.org.il/ןג-תו-להנמ-ןוחטיבו-תוחיטב-ילהנ/.
לקראת שנת הלימודים,https://www.ganeytikva.org.il/םידומילה-תנש-תארקל/.
הנחיות כלליות לניהול גן תקין,https://www.ganeytikva.org.il/ןיקת-ןג-לוהינל-תויללכ-תויחנה/.
"תומכת הלמידה בגן הילדות והילדים תשפ""ג",https://www.ganeytikva.org.il/ג-פשת-םידליהו-תודליה-ןגב-הדימלה-תכמות/.
"חוברת נהלים, ביטחון בטיחות ושע""ח גני הילדות והילדים תשפ""ג",https://www.ganeytikva.org.il/הווקת-ינג-ג-פשת-םידליה-ינג-ח-עשו-תוחיטב-ןוחטיב-םילהנ-תרבוח/.
הנחיות פתיחת קריאה מוקד 106 גני הילדות והילדים,https://www.ganeytikva.org.il/דקומ-ילהנ/.
סדר פעולות בחירום בגני הילדות והילדים,https://www.ganeytikva.org.il/םידליהו-תודליה-ינגב-םוריחב-תולועפ-רדס/.
כתבות,https://www.ganeytikva.org.il/selcitra/
אגפי העירייה,https://www.ganeytikva.org.il/הייריעה-יפגא/.
לשכת ראש העיר,https://www.ganeytikva.org.il/ריעה-שאר-תכשל/.
"לשכת מנכ""ל",https://www.ganeytikva.org.il/לכנמ-תכשל/.
תרבות ואירועים,https://www.ganeytikva.org.il./582/
מוקד 106,https://www.ganeytikva.org.il/601-דקומ/.
ועדת תרומות והנצחה באמצעות תרומה,https://www.ganeytikva.org.il/המורת-תועצמאב-החצנהו-תומורת-תדעו/.
אגף החינוך והנוער,https://www.ganeytikva.org.il/רעונהו-ךוניחה-ףגא/.
גיל הרך לידה עד שלוש,https://www.ganeytikva.org.il/3-דע-הדיל-ךרה-ליג/.
הגנים הפרטיים ומעונות היום,https://www.ganeytikva.org.il/םייטרפ-םינגו-םוי-תונועמ-תמישר/.
קהילה מלידה,https://www.ganeytikva.org.ilfaT_kitnaG/oc.gnioc.www//:sptth
חינוך קדם יסודי גני הילדים שלוש עד שש,https://www.ganeytikva.org.il/שש-דע-שולש-םידליה-ינג-ידוסי-םדק-ךוניח/.
"הליך השיבוץ לגני הילדות והילדים לשנת תשפ""ה",https://www.ganeytikva.org.il/הפשת-תנשל-םידליהו-תודליה-ינגל-ץובישה-ךילה/.
נעים להכיר גני הילדות והילדים גני תקווה,https://www.ganeytikva.org.il/הווקת-ינג-םידליה-ינג-ריכהל-םיענ/.
אזורי הרישום,https://www.ganeytikva.org.il./848/
רישום לגני הילדות והילדים,https://www.ganeytikva.org.il/םידליהו-תודליה-ינגל-םושיר/.
תבחיני השיבוץ לגני הילדות והילדים,https://www.ganeytikva.org.il/םידליה-ינגל-ץובישה-יניחבת/.
הליך הרישום לגני הילדות והילדים,https://www.ganeytikva.org.il/םידלי-ינגל-םושירה-ךילה/.
שאלות ותשובות - גני הילדות והילדים,https://www.ganeytikva.org.il/םידליה-ינג-תובושתו-תולאש/.
צהרוני גני הילדות והילדים,https://www.ganeytikva.org.il/d9%7d%99%7d%39%7d%c9%7d%99%7d%49%7d%-99%7d%0a%7d%29%7d%19%7d%-aa%7d%59%7d%99%7d%0a%7d%e9%7d%79%7d%-99%7d%0a%7d%59%7d%8a%7d%49%7d%6a%7d%/d9%7d%99%7d%0a%7d%29%7d%49%7d%59%7d%-8a%7d%4a%7d%1a%7d%49%7d%-aa%7d%99%7d%19%7d%-99%7d%8a%7d%79%7d%09%7d%-aa%7d%59%7d%99%7d%0a%7d%b9%7d%59%7d%aa%7d%-c9%7d%b9%7d%/8a%7d%aa%7d%09%7d%19%7d%-39%7d%59%7d%2a%7d%/yrogetac/li.gro.tgym.www//:sptth
מערך התמיכה של גני הילדות והילדים,https://www.ganeytikva.org.il/םידליה-ינג-לש-הכימתה-ךרעמ/.
יצירת קשר עם המחלקה לחינוך קדם יסודי,https://www.ganeytikva.org.il/ידוסי-םדק-ךוניחל-הקלחמה-םע-רשק-תריצי/.
ברוח החינוך המונטסורי,https://www.ganeytikva.org.il/ירוסטנומה-ךוניחה-חורב/.
גני הילדות והילדים ברוח החינוך המונטסורי ביישוב,https://www.ganeytikva.org.il/בושייב-ירוסטנומה-ךוניחה-חורב-םידליהו-תודליה-ינג/.
תקנון ההגרלה לגנים ברוח החינוך המונטסורי,https://www.ganeytikva.org.il/ירוסטנומה-ךוניחה-חורב-םינגל-הלרגהה-ןונקת/.
רישום ושיבוץ לילדים וילדות ממשיכים בגנים ברוח החינוך המונטסורי,https://www.ganeytikva.org.il/ירוסטנומה-חורב-םידליהו-תודליה-ינגב-ג-פשת-תנשב-םידמולל-ד-פשת-תנשל-ץובישהו-םושירה-ךילהת/.
"הליך הרישום והשיבוץ, לילדים וילדות חדשים.ות בגנים ברוח החינוך המונטסורי",https://www.ganeytikva.org.il/ירוסטנומה-ךוניחה-חורב-םינגב-תו-םישדח-תודליו-םידליל-ד-פשת-תנשל-ץובישהו-םושירה-ךילה/.
הימים הראשונים בגן,https://www.ganeytikva.org.il/ןגב-םינושארה-םימיה/.
מערך העשרה בגני הילדות והגני ילדים,https://www.ganeytikva.org.il/םידלי-ינגהו-תודליה-ינגב-הרשעה-ךרעמ/.
תשלומי הורים בגני הילדות והילדים,https://www.ganeytikva.org.il/םידליהו-תודליה-ינגב-םירוה-ימולשת/.
ילדים וילדות עם צרכים מיוחדים,https://www.ganeytikva.org.il/םידחוימ-םיכרצ-םע-תודליו-םידלי/.
בתי הספר,https://www.ganeytikva.org.il/רפסה-יתב/.
חווה חקלאית,https://www.ganeytikva.org.il/תיאלקח-הווח-1053274071-0/.
"שלהבות חב""ד",https://www.ganeytikva.org.il/ד-בח-תובהלש/.
חטיבת הראשונים,https://www.ganeytikva.org.il/םינושאר-תביטח/.
תיכון מיתר,https://www.ganeytikva.org.il/רתימ-ןוכית/.
תלמוד תורה,https://www.ganeytikva.org.il/הרות-דומלת/.
בית יעקב,https://www.ganeytikva.org.il/בקעי-תיב/.
"שיבוצים לכיתות א' תשפ""ד",https://www.ganeytikva.org.il/ב-פשת-א-תותיכל-םיצוביש/.
רישום לבתי ספר,https://www.ganeytikva.org.il/רפס-יתבל-םושיר/.
חוברת רישום,https://www.ganeytikva.org.il/-2287510461-0/.
צור קשר עם בתי הספר ביישוב,https://www.ganeytikva.org.il/בושייב-רפסה-יתב-םע-רשק-רוצ/.
שאלות ותשובות  רישום לבתי ספר,https://www.ganeytikva.org.il/רפס-יתב-תובושתו-תולאש/.
רישום תושב חדש למערכת החינוך היישובית,https://www.ganeytikva.org.il/תיבושייה-ךוניחה-תכרעמל-שדח-בשות-םושיר/.
חינוך מיוחד והטיפול בפרט,https://www.ganeytikva.org.il/טרפב-לופיט/.
"חוברת המחלקה לטיפול בפרט והחינוך המיוחד תשפ""ד",https://www.ganeytikva.org.il/ד-פשת-דחוימה-ךוניחהו-טרפב-לופיטל-הקלחמה-תרבוח/.
שאלות תשובות מחלקת פרט,https://www.ganeytikva.org.il/טרפ-תקלחמ-תובושת-תולאש/.
מטרות ​המחלקה לטיפול בפרט,https://www.ganeytikva.org.il/טרפב-לופיטל-הקלחמה-תורטמ/.
"מסגרות חינוך מיוחד (מעודכן לשנת הלימודים תשפ""ד 2023-2024):",https://www.ganeytikva.org.il/2202-1202-ב-פשת-םידומילה-תנשל-ןכדועמ-דחוימ-ךוניח-תורגסמ/.
"קידום נוער-היל""ה ותכנית 'עוגן שלי'",https://www.ganeytikva.org.il/רעונה-םודיק/.
שירותי המחלקה,https://www.ganeytikva.org.il/הקלחמה-יתוריש/.
גיל ההתבגרות,https://www.ganeytikva.org.il/תורגבתהה-ליג/.
"בית ספר היל""ה",https://www.ganeytikva.org.il/ה-ליה-רפס-תיב/.
תכנית 'עוגן שלי',https://www.ganeytikva.org.il/ילש-ןגוע-תינכת/.
בעלי תפקי​דים,https://www.ganeytikva.org.il/םיד-יקפת-ילעב/.
שעות פעילות וכתובתינו,https://www.ganeytikva.org.il/וניתבותכו-תוליעפ-תועש/.
איך פונים אלינו?,https://www.ganeytikva.org.il/ונילא-םינופ-ךיא/.
"ביקור סדיר - קב""ס",https://www.ganeytikva.org.il/ס-בק-רידס-רוקיב/.
"השירות הפסיכולוגי החינוכי - שפ""ח",https://www.ganeytikva.org.il/יגולוכיספה-תורישה/.
טיפים להתחלה רגועה ונעימה בגני הילדים,https://www.ganeytikva.org.il/םידליה-ינגב-המיענו-העוגר-הלחתה-היהתש-ידכ-יגולוכיספה-תורישהמ-םיפיט-המכ-הנה-ןאכ-רבכ-ב-פשת-םידומילה-תנש/.
שרות פסיכולוגי משלים,https://www.ganeytikva.org.il/043/smroftrams/li.gro.avkityenag.www//:sptth
צוות השירות הפסיכולוגי,https://www.ganeytikva.org.il/יגולוכיספה-תורישה-תווצ/.
נוער,https://www.ganeytikva.org.il/םיריעצו-רעונ-תקלחמ/.
מסגרות מעורבות חברתית לנוער,https://www.ganeytikva.org.il/רעונל-תיתרבח-תוברועמ-תורגסמ/.
התנסויות נוער עם אזרחים ותיקים,https://www.ganeytikva.org.il/8934556861-detacilpud/.
"התנסויות נוער תנועות, ארגוני נוער ותוכניות מנהיגות",https://www.ganeytikva.org.il/תוגיהנמ-תוינכותו-רעונ-ינוגרא-תועונת-רעונ-תויוסנתה/.
התנסויות נוער רפואה ובריאות,https://www.ganeytikva.org.il/תואירבו-האופר-רעונ-תויוסנתה/.
התנסויות נוער צרכים מיוחדים,https://www.ganeytikva.org.il/4093707861-detacilpud/.
התנסויות נוער בספורט,https://www.ganeytikva.org.il/תובדנתה תורגסמ טרופסב רעונ תויוסנתה/.
התנסויות נוער אמנות ותרבות,https://www.ganeytikva.org.il/תוברתו-תונמא-רעונ-תויוסנתה/.
התנסויות נוער שאלות ותשובות,https://www.ganeytikva.org.il/תובושתו-תולאש-רעונ-תויוסנתה/.
התנסויות נוער בקהילה,https://www.ganeytikva.org.il/הליהקב-רעונ-תויוסנתה/.
התנסויות נוער בבית הספר,https://www.ganeytikva.org.il/7181648861-detacilpud/.
התנסויות נוער מהנייד,https://www.ganeytikva.org.il/9852648861-detacilpud/.
התנסויות נוער עם בעלי חיים,https://www.ganeytikva.org.il/4992648861-detacilpud/.
התנסויות נוער חונכות,https://www.ganeytikva.org.il/6643648861-detacilpud/.
מלגות לימודים,https://www.ganeytikva.org.il/םידומיל-תוגלמ-6394076951-0/.
מאגר מלגות לימודים,https://www.ganeytikva.org.il/םידומיל-תוגלמ-רגאמ/.
מלגות לימודים בעירייה,https://www.ganeytikva.org.il/םידומיל-תוגלמ-2094076951-0/.
פעילויות ואירועים לנוער וצעירים,https://www.ganeytikva.org.il5=yrogetac?/stneve/li.gro.avkityenag.www//:sptth
עובדי המחלקה,https://www.ganeytikva.org.il/רשק-תריצי-7876903651-0/.
מועדון הנוער- התקווה 7,https://www.ganeytikva.org.il/רעונה-תיב/.
מנהיגות בנוער,https://www.ganeytikva.org.il/רעונה-תצעומ/.
מרכז המוזיקה- The Basement,https://www.ganeytikva.org.il/הקיזומה-זכרמ/.
הרכבי מוסיקה,https://www.ganeytikva.org.il/תודוא-9083903651-0/.
אולפן הקלטות,https://www.ganeytikva.org.il/רשק-תריצי/.
מרכז הכנה לשירות משמעותי,https://www.ganeytikva.org.il/םור-פייקסא/.
תהליך הרשמה למכינות ושנות שירות,https://www.ganeytikva.org.il/תוריש-תונשו-תוניכמל-המשרה-ךילהת/.
תנועות וארגוני הנוער,https://www.ganeytikva.org.il/רעונ-תועונת/.
צופים,https://www.ganeytikva.org.il/םיפוצ/.
הנוער העובד והלומד,https://www.ganeytikva.org.il/דמולהו-דבועה-רעונה/.
בני עקיבא,https://www.ganeytikva.org.il/אביקע-ינב/.
עזרא,https://www.ganeytikva.org.il/ארזע/.
איגי,https://www.ganeytikva.org.il/יגיא/.
חוגי סיור של החברה להגנת הטבע,https://www.ganeytikva.org.il/יגיא-0423637751-0/.
ביטוח תאונות אישיות לתלמידים,https://www.ganeytikva.org.il0=devreser&D3%c8FN8HBA46tZl1BF2%1o82YB2%AlTIn8F4SxIwlYM9OCoEi=atads&C7%C7%C7%0003C7%D3%0nM6ICVXJCLiwWah1kI6IiTBJCLiIzMul2ViojIQJCLiADMwAjLw4CMiojIWJye8d3bsZGbpFWTC7%nwonknUC7%999161473102414836C7%0C7%0C7%13e44e8add626d8ab8547817dcfa7bfdC7%25b655a1cd8067757494249efa9fda14C7%li.gro.kitnag04%emetorC7%20C7%50=atad&F2%avkityenagF2%seitirohtuaF2%li.oc.lachsam.ycnegaecnarusniF2%F2%A3%sptth=lru?/moc.kooltuo.noitcetorp.sknilefas.10rue//:sptth
מחלקת הרווחה והשירותים החברתיים,https://www.ganeytikva.org.il/םייתרבחה-םיתורישהו-החוור-ףגא/.
גישור בקהילה,https://www.ganeytikva.org.il/הליהקב-רושיג-6184013171-0/.
אזרחים ותיקים,https://www.ganeytikva.org.il/םיקיתו-םיחרזא/.
קהילה תומכת,https://www.ganeytikva.org.il/תכמות-הליהק/.
מועדון חברתי,https://www.ganeytikva.org.il/יתרבח-ןודעומ/.
מרכז יום אופק,https://www.ganeytikva.org.il/קפוא-םוי-זכרמ/.
כיתות אזרחים ותיקים,https://www.ganeytikva.org.il/םיקיתו-םיחרזא-תותיכ/.
בני משפחה המטפלים באזרח הותיק,https://www.ganeytikva.org.il/קיתוה-חרזאב-םילפטמה-החפשמ-ינב/.
ספרייה בשפה הרוסית,https://www.ganeytikva.org.il/תיסורה-הפשב-היירפס/.
תרבות ופנאי לאזרחים ותיקים,https://www.ganeytikva.org.ilmikitaV_kitnaG/oc.gnioc.www//:sptth
תכנית תרבותית חברתית לשורדי שואה,https://www.ganeytikva.org.il/993/swen/li.gro.avkityenag.www//:sptth
מרכז פנאי פלוס לאזרחים וותיקים,https://www.ganeytikva.org.il/םיקיתוו-םיחרזאל-סולפ-יאנפ-זכרמ/.
בעלי תפקידים באגף הרווחה והשירותים החברתיים,https://www.ganeytikva.org.il/םייתרבחה-םיתורישהו-החוורה-ףגאב-םידיקפת-ילעב/.
מנהל מוגבלויות,https://www.ganeytikva.org.il/תויולבגומ-להנמ/.
עיכוב התפתחותי מאובחן בילדות,https://www.ganeytikva.org.il/תודליב-ןחבואמ-יתוחתפתה-בוכיע/.
אוטיזם,https://www.ganeytikva.org.il/םזיטוא/.
מוגבלות שכלית התפתחותית,https://www.ganeytikva.org.il/תיתוחתפתה-תילכש-תולבגומ/.
שיקום,https://www.ganeytikva.org.il/םוקיש/.
התמכרויות,https://www.ganeytikva.org.il/תויורכמתה/.
משפחה וילד בקהילה,https://www.ganeytikva.org.il/הליהקב-דליו-החפשמ/.
ליווי למשפחות בעתות משבר,https://www.ganeytikva.org.il/רבשמ-תותעב-תוחפשמל-יוויל/.
ליווי למשפחות,https://www.ganeytikva.org.il/תוחפשמל-יוויל/.
הגנה על קטינים בסיכון,https://www.ganeytikva.org.il/ןוכיסב-םיניטק-לע-הנגה/.
סדרי דין,https://www.ganeytikva.org.il/ןיד-ירדס/.
מרכז חוסן למשפחה,https://www.ganeytikva.org.il/החפשמל-ןסוח-זכרמ/.
התחנה לטיפול זוגי ומשפחתי,https://www.ganeytikva.org.il/יתחפשמו-יגוז-לופיטל-הנחתה/.
מועדוניות,https://www.ganeytikva.org.il/תוינודעומ/.
היחידה לשלום המשפחה,https://www.ganeytikva.org.il/החפשמה-םולשל-הדיחיה-7682943071-0/.
בית ירוק בקהילה,https://www.ganeytikva.org.il/הליהקב-קורי-תיב/.
חוסן לקהילה,https://www.ganeytikva.org.il/הליהקל-ןסוח/.
מידע חשוב להורים פרודים/גרושים,https://www.ganeytikva.org.il/םישורג-םידורפ-םירוהל-בושח-עדימ/.
"השירות לנוער, צעירים וצעירות",https://www.ganeytikva.org.il/תוריעצו-םיריעצ-רעונל-תורישה/.
ליווי פרטני,https://www.ganeytikva.org.il/ינטרפ-יוויל/.
מועדון נוער ייחודי לנוער חרדי,https://www.ganeytikva.org.il/ידרח-רעונל-ידוחיי-רעונ-ןודעומ/.
פעילויות לקהילה,https://www.ganeytikva.org.il/הליהקל-תויוליעפ/.
יחידת התנדבות עירונית,https://www.ganeytikva.org.ilsreetnuloV_kitnaG/oc.gnioc.www//:sptth
אגף הכנסות גבייה וארנונה,https://www.ganeytikva.org.il/הנונרא-הייבג-תוסנכה/.
צווי מיסים ארנונה,https://www.ganeytikva.org.il/הנונרא-םיסימ-יווצ/.
תווי מזון לזכאים,https://www.ganeytikva.org.il/םיאכזל-ןוזמ-יוות/.
תשלום ארנונה,https://www.ganeytikva.org.il002205=DISAMAL&1=dIS?002205/yaPytic/etiSsecivreSlatroP/li.oc.u4ytic//:sptth
טפסים - גבייה,https://www.ganeytikva.org.il44=yrogetac?/smrof/li.gro.avkityenag.www//:sptth
מידע בנושא הנחות בארנונה כללי,https://www.ganeytikva.org.il/יללכ-הנונראב-תוחנה-אשונב-עדימ/.
